Country,WorkExp,EdLevel,DevType,RemoteWork,Age,OrgSize,LanguageHaveWorkedWith,ConvertedCompYearly
China,6.0,Some college/university study without earning a degree,"Developer, full-stack",In-person,25-34 years old,Less than 20 employees,Python;TypeScript,26464.0
United States of America,20.0,Some college/university study without earning a degree,"Developer, back-end",Remote,45-54 years old,100 to 499 employees,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL,105000.0
Argentina,23.0,Some college/university study without earning a degree,Database administrator or engineer,Remote,45-54 years old,100 to 499 employees,C#;Dart;Python;SQL;Visual Basic (.Net),34122.0
Australia,25.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",DevOps engineer or professional,"Hybrid (some in-person, leans heavy to flexibility)",45-54 years old,20 to 99 employees,Bash/Shell (all shells);Groovy;Java;Python;Ruby,117017.0
Singapore,11.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile","Your choice (very flexible, you can come in when you want or just as needed)",35-44 years old,500 to 999 employees,Bash/Shell (all shells);Go;JavaScript;Swift;TypeScript,156224.0
Australia,17.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Engineering manager,Remote,35-44 years old,"1,000 to 4,999 employees",C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,117017.0
Australia,7.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","Hybrid (some remote, leans heavy to in-person)",25-34 years old,Less than 20 employees,C#;HTML/CSS;JavaScript,52007.0
Indonesia,8.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, full-stack",In-person,18-24 years old,500 to 999 employees,HTML/CSS;JavaScript;PHP;SQL,5638.0
Thailand,6.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end",Remote,25-34 years old,100 to 499 employees,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;TypeScript,110516.0
Canada,14.0,Some college/university study without earning a degree,Other (please specify):,"Your choice (very flexible, you can come in when you want or just as needed)",25-34 years old,Less than 20 employees,Dart;HTML/CSS;JavaScript;SQL;TypeScript,62015.0
Canada,36.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",Remote,45-54 years old,100 to 499 employees,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;TypeScript,160508.0
India,4.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",In-person,25-34 years old,100 to 499 employees,HTML/CSS;Java;JavaScript;TypeScript,8602.0
Finland,25.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","Your choice (very flexible, you can come in when you want or just as needed)",45-54 years old,"10,000 or more employees",HTML/CSS;Java;JavaScript;SQL;TypeScript,104413.0
United States of America,6.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack",Remote,25-34 years old,"10,000 or more employees",Bash/Shell (all shells);Go;Java;JavaScript;Kotlin;Python;SQL;TypeScript,320000.0
United States of America,40.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Architect, software or solutions",Remote,65 years or older,"Just me - I am a freelancer, sole proprietor, etc.",Bash/Shell (all shells);HTML/CSS;Java;JavaScript;MATLAB;Python;SQL;Swift;TypeScript,150000.0
Germany,34.0,"Associate degree (A.A., A.S., etc.)","Developer, desktop or enterprise applications","Your choice (very flexible, you can come in when you want or just as needed)",55-64 years old,"10,000 or more employees",Bash/Shell (all shells);HTML/CSS;JavaScript;Perl;Python,84691.0
India,9.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, embedded applications or devices","Hybrid (some remote, leans heavy to in-person)",25-34 years old,500 to 999 employees,Bash/Shell (all shells);C;C++;Go;MicroPython;Python,45333.0
India,3.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",DevOps engineer or professional,Remote,18-24 years old,100 to 499 employees,Bash/Shell (all shells);Go;Kotlin;Python,34872.0
France,12.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack",Remote,35-44 years old,500 to 999 employees,Bash/Shell (all shells);Elixir;Go;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,104413.0
Germany,17.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",Remote,35-44 years old,20 to 99 employees,Bash/Shell (all shells);Groovy;Java;JavaScript;Kotlin;Scala;SQL;TypeScript,129936.0
France,40.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Applied scientist,In-person,55-64 years old,20 to 99 employees,Assembly;Bash/Shell (all shells);C;Dart;HTML/CSS;Java;JavaScript;OCaml;PHP;Python;SQL,69609.0
Belgium,35.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack","Hybrid (some remote, leans heavy to in-person)",55-64 years old,500 to 999 employees,C#;HTML/CSS;JavaScript;MATLAB;SQL,125296.0
United States of America,35.0,Some college/university study without earning a degree,"Developer, desktop or enterprise applications",Remote,45-54 years old,100 to 499 employees,C++;Dart;Delphi;SQL,185000.0
Canada,15.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end","Your choice (very flexible, you can come in when you want or just as needed)",55-64 years old,Less than 20 employees,Bash/Shell (all shells);C++;Python;R,87550.0
Spain,7.0,Some college/university study without earning a degree,"Developer, full-stack","Your choice (very flexible, you can come in when you want or just as needed)",35-44 years old,500 to 999 employees,C#;HTML/CSS;JavaScript;SQL;TypeScript,67289.0
Belgium,1.0,Some college/university study without earning a degree,Cybersecurity or InfoSec professional,In-person,18-24 years old,"Just me - I am a freelancer, sole proprietor, etc.",Bash/Shell (all shells);C;C#;HTML/CSS;JavaScript;PowerShell;Python,139218.0
Australia,5.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",Remote,25-34 years old,20 to 99 employees,Bash/Shell (all shells);C#;C++;HTML/CSS;JavaScript;Kotlin;PHP;Python;Ruby;SQL;Swift;TypeScript,42256.0
India,5.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile","Hybrid (some remote, leans heavy to in-person)",25-34 years old,100 to 499 employees,C;C++;Dart;HTML/CSS;JavaScript;SQL;TypeScript,6974.0
Australia,30.0,Primary/elementary school,"Developer, back-end","Hybrid (some remote, leans heavy to in-person)",45-54 years old,"1,000 to 4,999 employees",C;C++;Go;Java;Python,455066.0
Djibouti,1.0,Some college/university study without earning a degree,Other (please specify):,In-person,25-34 years old,"1,000 to 4,999 employees",HTML/CSS;JavaScript;SQL,5833.0
France,21.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end","Hybrid (some remote, leans heavy to in-person)",35-44 years old,100 to 499 employees,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PHP;SQL,54527.0
United Arab Emirates,3.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","Your choice (very flexible, you can come in when you want or just as needed)",25-34 years old,"10,000 or more employees",C#;Python;SQL;TypeScript,54460.0
South Africa,32.0,Some college/university study without earning a degree,"Developer, full-stack","Hybrid (some remote, leans heavy to in-person)",45-54 years old,Less than 20 employees,C#;HTML/CSS;JavaScript;SQL;TypeScript,47358.0
Australia,11.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile","Your choice (very flexible, you can come in when you want or just as needed)",25-34 years old,500 to 999 employees,C#;Swift,92963.0
Bulgaria,7.0,Some college/university study without earning a degree,"Developer, full-stack",In-person,25-34 years old,20 to 99 employees,Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;PowerShell;Python;TypeScript,47445.0
India,1.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",In-person,18-24 years old,Less than 20 employees,HTML/CSS;JavaScript;TypeScript,5580.0
India,3.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",In-person,25-34 years old,Less than 20 employees,Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;Python,11624.0
Denmark,25.0,Some college/university study without earning a degree,"Architect, software or solutions","Hybrid (some remote, leans heavy to in-person)",45-54 years old,100 to 499 employees,C#;PowerShell;SQL,136080.0
United Kingdom of Great Britain and Northern Ireland,12.0,Some college/university study without earning a degree,"Developer, full-stack","Hybrid (some remote, leans heavy to in-person)",45-54 years old,100 to 499 employees,C#;Groovy;HTML/CSS;Java;JavaScript;Kotlin;SQL;TypeScript,81685.0
Switzerland,4.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, mobile","Hybrid (some remote, leans heavy to in-person)",25-34 years old,Less than 20 employees,C++;Dart;Java;Kotlin;PHP;Python;SQL;Swift,101674.0
France,10.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",System administrator,"Hybrid (some remote, leans heavy to in-person)",25-34 years old,"10,000 or more employees",Bash/Shell (all shells);Go;Java;JavaScript;Python;Rust;SQL;TypeScript,32484.0
Spain,1.0,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Developer, full-stack",In-person,18-24 years old,20 to 99 employees,C#;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL,24363.0
Germany,7.0,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Academic researcher,In-person,25-34 years old,500 to 999 employees,Python,69609.0
France,2.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Academic researcher,In-person,25-34 years old,"10,000 or more employees",Bash/Shell (all shells);C;Dart;HTML/CSS;JavaScript;Python;SQL,30164.0
Poland,10.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",DevOps engineer or professional,"Hybrid (some remote, leans heavy to in-person)",25-34 years old,"10,000 or more employees",Bash/Shell (all shells);Go;Groovy;Java;Lua;Perl;PowerShell;Python;Rust;SQL,81870.0
Switzerland,7.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end","Hybrid (some in-person, leans heavy to flexibility)",25-34 years old,"5,000 to 9,999 employees",Bash/Shell (all shells);C#;JavaScript;Python;SQL,136392.0
Germany,11.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Architect, software or solutions",Remote,25-34 years old,20 to 99 employees,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL;TypeScript,84691.0
Spain,13.0,"Associate degree (A.A., A.S., etc.)","Developer, full-stack","Hybrid (some remote, leans heavy to in-person)",25-34 years old,20 to 99 employees,HTML/CSS;Java;JavaScript;PHP;Python;TypeScript,81210.0
Spain,6.0,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Developer, full-stack","Hybrid (some in-person, leans heavy to flexibility)",25-34 years old,100 to 499 employees,Bash/Shell (all shells);COBOL;HTML/CSS;Java;PowerShell;SQL;TypeScript,42925.0
Sweden,9.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end","Your choice (very flexible, you can come in when you want or just as needed)",25-34 years old,20 to 99 employees,Bash/Shell (all shells);C#;Go;JavaScript;Lua;Rust,68134.0
Italy,3.0,Some college/university study without earning a degree,"Developer, full-stack",In-person,25-34 years old,Less than 20 employees,C#;Go;HTML/CSS;JavaScript;Lua;PHP;SQL,31904.0
Romania,10.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",Remote,35-44 years old,20 to 99 employees,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;TypeScript,80640.0
Canada,20.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end",Remote,35-44 years old,20 to 99 employees,Go;HTML/CSS;Python;Ruby;SQL,134973.0
Australia,35.0,"Associate degree (A.A., A.S., etc.)","Developer, desktop or enterprise applications","Hybrid (some in-person, leans heavy to flexibility)",45-54 years old,500 to 999 employees,Bash/Shell (all shells);Delphi;HTML/CSS;PowerShell;SQL;VBA,149522.0
Netherlands,28.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Architect, software or solutions","Your choice (very flexible, you can come in when you want or just as needed)",45-54 years old,Less than 20 employees,Bash/Shell (all shells);C#;F#;HTML/CSS;JavaScript;SQL,92812.0
Sweden,28.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, embedded applications or devices","Hybrid (some remote, leans heavy to in-person)",55-64 years old,100 to 499 employees,Bash/Shell (all shells);C;C++;Python,81761.0
Portugal,8.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",Remote,25-34 years old,20 to 99 employees,Bash/Shell (all shells);JavaScript;PowerShell;Python;Rust;SQL;TypeScript,174022.0
Poland,13.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Database administrator or engineer,Remote,25-34 years old,"1,000 to 4,999 employees",HTML/CSS;JavaScript;PowerShell;SQL,65496.0
Norway,7.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack","Hybrid (some remote, leans heavy to in-person)",25-34 years old,Less than 20 employees,Python;TypeScript,108710.0
Spain,20.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",DevOps engineer or professional,"Hybrid (some remote, leans heavy to in-person)",35-44 years old,100 to 499 employees,C#;Go;Java;Kotlin;PowerShell;Python,69609.0
Ukraine,4.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, embedded applications or devices",Remote,18-24 years old,500 to 999 employees,C;SQL,28800.0
Germany,10.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, embedded applications or devices","Your choice (very flexible, you can come in when you want or just as needed)",35-44 years old,"10,000 or more employees",Bash/Shell (all shells);C;C++;Python,139218.0
Republic of Korea,1.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Cloud infrastructure engineer,In-person,18-24 years old,"10,000 or more employees",Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,36746.0
Poland,5.0,Some college/university study without earning a degree,"Developer, back-end","Your choice (very flexible, you can come in when you want or just as needed)",35-44 years old,"1,000 to 4,999 employees",Bash/Shell (all shells);Java;JavaScript;PowerShell;Python;TypeScript,88419.0
France,16.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end","Hybrid (some remote, leans heavy to in-person)",35-44 years old,"5,000 to 9,999 employees",Bash/Shell (all shells);HTML/CSS;Java;Python;SQL;TypeScript,46406.0
Germany,14.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","Hybrid (some in-person, leans heavy to flexibility)",35-44 years old,"1,000 to 4,999 employees",C#;Java;Python,69609.0
United Kingdom of Great Britain and Northern Ireland,11.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end","Hybrid (some in-person, leans heavy to flexibility)",25-34 years old,"1,000 to 4,999 employees",JavaScript;Python;SQL;TypeScript,142949.0
Poland,3.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack","Hybrid (some in-person, leans heavy to flexibility)",25-34 years old,500 to 999 employees,HTML/CSS;Java;JavaScript;Kotlin;Python;Rust;SQL;TypeScript,44537.0
United Kingdom of Great Britain and Northern Ireland,8.0,Some college/university study without earning a degree,"Developer, full-stack",Remote,25-34 years old,Less than 20 employees,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,54457.0
Denmark,9.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",AI/ML engineer,"Hybrid (some remote, leans heavy to in-person)",25-34 years old,20 to 99 employees,Bash/Shell (all shells);Go;Lua;Python,93312.0
Indonesia,10.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",Remote,25-34 years old,20 to 99 employees,Bash/Shell (all shells);C++;Go;Lua;PHP;Python;Ruby;SQL,117661.0
Germany,15.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile",Remote,35-44 years old,20 to 99 employees,Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;Python;SQL;Swift;TypeScript,69609.0
Spain,2.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","Your choice (very flexible, you can come in when you want or just as needed)",18-24 years old,20 to 99 employees,Elixir;HTML/CSS;JavaScript;SQL;TypeScript,27844.0
Italy,6.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end","Hybrid (some remote, leans heavy to in-person)",25-34 years old,"10,000 or more employees",Bash/Shell (all shells);C;C++;Go;Python,40605.0
New Zealand,15.0,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Developer, full-stack","Your choice (very flexible, you can come in when you want or just as needed)",35-44 years old,Less than 20 employees,HTML/CSS;SQL;TypeScript,90353.0
Spain,5.0,"Associate degree (A.A., A.S., etc.)","Developer, full-stack",In-person,25-34 years old,Less than 20 employees,Bash/Shell (all shells);C;C#;C++;HTML/CSS;TypeScript,26683.0
Singapore,10.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Architect, software or solutions","Hybrid (some remote, leans heavy to in-person)",35-44 years old,20 to 99 employees,C#;Dart;Java;JavaScript;Kotlin;SQL;Swift;TypeScript,64208.0
India,10.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Product manager,Remote,25-34 years old,20 to 99 employees,HTML/CSS;JavaScript;Python;SQL,29060.0
France,5.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack","Hybrid (some remote, leans heavy to in-person)",25-34 years old,"10,000 or more employees",Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;TypeScript,58007.0
Sweden,12.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack","Your choice (very flexible, you can come in when you want or just as needed)",35-44 years old,"10,000 or more employees",Bash/Shell (all shells);C#;JavaScript;PowerShell;SQL;TypeScript,85534.0
United Kingdom of Great Britain and Northern Ireland,7.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","Hybrid (some in-person, leans heavy to flexibility)",25-34 years old,100 to 499 employees,Bash/Shell (all shells);JavaScript;MicroPython;Python;SQL,135052.0
Bangladesh,2.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile","Hybrid (some in-person, leans heavy to flexibility)",25-34 years old,500 to 999 employees,C#;Dart;Go,13189.0
South Africa,1.0,"Associate degree (A.A., A.S., etc.)","Developer, full-stack","Hybrid (some remote, leans heavy to in-person)",18-24 years old,Less than 20 employees,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;SQL,14546.0
Germany,23.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",Remote,35-44 years old,Less than 20 employees,JavaScript;Python,62648.0
India,2.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",In-person,18-24 years old,Less than 20 employees,PHP,6974.0
Germany,3.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack","Your choice (very flexible, you can come in when you want or just as needed)",25-34 years old,20 to 99 employees,C#;GDScript;Go;HTML/CSS;JavaScript;Kotlin;Python;TypeScript,63808.0
Greece,5.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Other (please specify):,"Hybrid (some remote, leans heavy to in-person)",25-34 years old,100 to 499 employees,C#;Go;HTML/CSS;JavaScript;PHP;Python;TypeScript,23783.0
United Kingdom of Great Britain and Northern Ireland,20.0,Some college/university study without earning a degree,"Developer, full-stack",Remote,35-44 years old,20 to 99 employees,C#;HTML/CSS;JavaScript;SQL;TypeScript,118443.0
Portugal,13.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, desktop or enterprise applications",Remote,25-34 years old,"1,000 to 4,999 employees",Bash/Shell (all shells);C#;PowerShell;Python;SQL,122976.0
Netherlands,7.0,"Associate degree (A.A., A.S., etc.)","Developer, full-stack","Hybrid (some remote, leans heavy to in-person)",25-34 years old,100 to 499 employees,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,46406.0
Ukraine,33.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Architect, software or solutions",Remote,45-54 years old,100 to 499 employees,Bash/Shell (all shells);Java;JavaScript;PHP;PowerShell;Python;SQL,77651.0
Netherlands,10.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",AI/ML engineer,"Hybrid (some remote, leans heavy to in-person)",25-34 years old,"1,000 to 4,999 employees",Bash/Shell (all shells);C++;HTML/CSS;Java;Python;Rust;SQL;TypeScript,139218.0
Germany,12.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Engineering manager,"Your choice (very flexible, you can come in when you want or just as needed)",25-34 years old,100 to 499 employees,Bash/Shell (all shells);C++;HTML/CSS;Lua;Python;SQL;TypeScript,110214.0
France,10.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",DevOps engineer or professional,Remote,35-44 years old,100 to 499 employees,Bash/Shell (all shells);Dart;Go;HTML/CSS;Java;JavaScript;Lua;Python;SQL;TypeScript,116015.0
France,5.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Data scientist,"Your choice (very flexible, you can come in when you want or just as needed)",25-34 years old,"1,000 to 4,999 employees",Python,40373.0
France,6.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, embedded applications or devices","Your choice (very flexible, you can come in when you want or just as needed)",25-34 years old,"10,000 or more employees",Bash/Shell (all shells);C;C++;Java;PowerShell;Python,55687.0
Slovakia,25.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end",Remote,35-44 years old,20 to 99 employees,Bash/Shell (all shells);C;Go;JavaScript;PowerShell;Python;SQL;TypeScript,81210.0
Ukraine,6.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end",Remote,25-34 years old,Less than 20 employees,Go;Java;Lua;Python;SQL,5250.0
Germany,4.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, desktop or enterprise applications","Your choice (very flexible, you can come in when you want or just as needed)",25-34 years old,"5,000 to 9,999 employees",Bash/Shell (all shells);C;Go;HTML/CSS;Java;Python;SQL;TypeScript,85851.0
Czech Republic,3.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end","Hybrid (some in-person, leans heavy to flexibility)",25-34 years old,"1,000 to 4,999 employees",Python,28083.0
Japan,20.0,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Applied scientist,"Your choice (very flexible, you can come in when you want or just as needed)",35-44 years old,"Just me - I am a freelancer, sole proprietor, etc.",Ada;Assembly;Bash/Shell (all shells);C;C++;Fortran,82906.0
Germany,16.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Cloud infrastructure engineer,"Hybrid (some in-person, leans heavy to flexibility)",25-34 years old,20 to 99 employees,Assembly;Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;Lisp;Lua;MicroPython;PHP;PowerShell;Prolog;Python;Ruby;Rust;SQL;TypeScript,104413.0
United Kingdom of Great Britain and Northern Ireland,32.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end","Hybrid (some remote, leans heavy to in-person)",55-64 years old,20 to 99 employees,Bash/Shell (all shells);C#;JavaScript;PowerShell;SQL,134780.0
India,15.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Architect, software or solutions",In-person,35-44 years old,Less than 20 employees,Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,29060.0
United Kingdom of Great Britain and Northern Ireland,18.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","Your choice (very flexible, you can come in when you want or just as needed)",35-44 years old,20 to 99 employees,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Lisp;Python,136141.0
India,14.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Data engineer,"Hybrid (some in-person, leans heavy to flexibility)",35-44 years old,"10,000 or more employees",Python;Scala;SQL,32547.0
France,5.0,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Data scientist,"Hybrid (some remote, leans heavy to in-person)",25-34 years old,500 to 999 employees,Python;SQL,41765.0
France,5.0,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Other (please specify):,"Hybrid (some remote, leans heavy to in-person)",25-34 years old,100 to 499 employees,Ada;Assembly;Bash/Shell (all shells);Go;Python;Rust,60328.0
Ireland,10.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end","Your choice (very flexible, you can come in when you want or just as needed)",25-34 years old,"10,000 or more employees",Bash/Shell (all shells);C++;Go;Java;Kotlin,120655.0
Greece,17.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Architect, software or solutions",In-person,45-54 years old,100 to 499 employees,HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;Scala;TypeScript,81210.0
Spain,25.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack",Remote,45-54 years old,20 to 99 employees,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Rust;Scala;SQL;TypeScript,93972.0
Germany,2.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, desktop or enterprise applications",Remote,25-34 years old,Less than 20 employees,Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;Python;Rust;SQL,63808.0
Germany,13.0,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Developer, AI apps or physical AI",Remote,35-44 years old,Less than 20 employees,Elixir;HTML/CSS;JavaScript;Python;SQL;TypeScript,174022.0
Czech Republic,10.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, embedded applications or devices","Hybrid (some in-person, leans heavy to flexibility)",35-44 years old,100 to 499 employees,C;Python;Rust,46806.0
Serbia,25.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","Hybrid (some remote, leans heavy to in-person)",45-54 years old,Less than 20 employees,JavaScript;Kotlin;PHP;Python;SQL,27844.0
India,6.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",Remote,25-34 years old,Less than 20 employees,HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,19761.0
Sweden,13.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",DevOps engineer or professional,In-person,25-34 years old,100 to 499 employees,Bash/Shell (all shells);HTML/CSS;JavaScript;Perl;Python;Ruby;TypeScript,73375.0
Spain,15.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Architect, software or solutions",Remote,35-44 years old,20 to 99 employees,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,98612.0
Ukraine,5.0,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",AI/ML engineer,"Hybrid (some remote, leans heavy to in-person)",25-34 years old,100 to 499 employees,JavaScript;Python,36000.0
Germany,1.0,"Associate degree (A.A., A.S., etc.)","Developer, front-end","Hybrid (some in-person, leans heavy to flexibility)",25-34 years old,"10,000 or more employees",Bash/Shell (all shells);C#;HTML/CSS;Python;SQL;TypeScript,38285.0
United States of America,6.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack",In-person,25-34 years old,20 to 99 employees,C;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,190000.0
Germany,10.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Data scientist,"Your choice (very flexible, you can come in when you want or just as needed)",25-34 years old,"10,000 or more employees",PowerShell;Python;SQL,116015.0
China,2.0,Some college/university study without earning a degree,"Developer, game or graphics",In-person,18-24 years old,100 to 499 employees,C#;TypeScript,13929.0
